question_id,node_id,node_name,cognitive_operation,cognitive_demand,reasoning
Q_M_17_101,N_M_18_001,Circle-Parabola Contact Configuration,"The student must construct a circle that touches or passes through specific points on a parabola (and possibly another curve), requiring simultaneous tangency conditions (shared point and shared tangent slope) to determine circle parameters.",Build Then Solve,"The student must construct the circle equation using the tangency condition at the parabola point (shared point + shared slope), often combined with a second condition (passes through another point, touches an axis). The setup is the hard part."
Q_M_17_102,N_M_18_008,Locus Through Internal Division,"The student must parametrize a moving point on the parabola, apply an internal division or midpoint formula to generate a new parametric point, then eliminate the parameter to find the locus equation.",Build Then Solve,"The student must first parametrize the moving point, apply the section formula to generate new coordinates as functions of the parameter, then eliminate the parameter — a multi-step construction before any computation toward the answer."
Q_M_17_103,N_M_18_009,Focal Chord Harvesting,"Given one endpoint or a constraint on a focal chord, the student must use the parametric or endpoint relationship (t₁t₂ = −1 or equivalent) to extract the other endpoint and then compute a secondary quantity such as length, area, or tangent equation.",Formula with Judgment,"The student must recall the focal chord endpoint relation (t₁t₂ = −1 or equivalent), identify which endpoint data is given, extract the other, then compute a derived quantity. The cognitive load is in selecting the right formula and correctly interpreting the given data, not in building a novel setup."
Q_M_17_103,N_M_18_001,Circle-Parabola Contact Configuration,"The student must construct a circle that touches or passes through specific points on a parabola (and possibly another curve), requiring simultaneous tangency conditions (shared point and shared tangent slope) to determine circle parameters.",Build Then Solve,"The student must construct the circle equation using the tangency condition at the parabola point (shared point + shared slope), often combined with a second condition (passes through another point, touches an axis). The setup is the hard part."
Q_M_17_104,N_M_18_012,Reflection and Image Transformation,"The student must compute the mirror image of a parabola (or points on it) with respect to a given line, requiring coordinate transformation via reflection formulas and then re-deriving the equation in the new coordinates.",Build Then Solve,"The student must apply coordinate reflection formulas to transform the parabola point-by-point or algebraically, then derive the image equation — a construction step precedes any property extraction."
Q_M_17_104,N_M_18_003,Area Computation on Parabolic Geometry,"The student must identify relevant geometric figures (triangles, quadrilaterals, regions) whose vertices lie on or are derived from the parabola, set up the area using coordinates or integration, and optimize or compute it.",Build Then Solve,"The student must identify the vertices of the geometric figure (often by finding intersection points or tangent meeting points), set up the area formula, and in optimization variants, also maximize. The figure must be constructed before computation."
Q_M_17_105,N_M_18_004,Multi-Conic Intersection Assembly,"The student must work simultaneously with a parabola and one or more other conics (circle, ellipse, hyperbola, rectangular hyperbola), finding intersection points, common tangents, or shared chords, requiring fluency switching between conic forms.",Build and Work Backwards,"The student must build the setup involving two or more conics AND often work backwards from a derived quantity (eccentricity of an ellipse, ratio of division) to determine intermediate parameters. Requires synthesizing frameworks from multiple conic sections."
Q_M_17_106,N_M_18_003,Area Computation on Parabolic Geometry,"The student must identify relevant geometric figures (triangles, quadrilaterals, regions) whose vertices lie on or are derived from the parabola, set up the area using coordinates or integration, and optimize or compute it.",Build Then Solve,"The student must identify the vertices of the geometric figure (often by finding intersection points or tangent meeting points), set up the area formula, and in optimization variants, also maximize. The figure must be constructed before computation."
Q_M_17_107,N_M_18_004,Multi-Conic Intersection Assembly,"The student must work simultaneously with a parabola and one or more other conics (circle, ellipse, hyperbola, rectangular hyperbola), finding intersection points, common tangents, or shared chords, requiring fluency switching between conic forms.",Build and Work Backwards,"The student must build the setup involving two or more conics AND often work backwards from a derived quantity (eccentricity of an ellipse, ratio of division) to determine intermediate parameters. Requires synthesizing frameworks from multiple conic sections."
Q_M_17_107,N_M_18_010,Chord Property Extraction,"The student must use the midpoint-chord relation (T = S₁) or parametric chord equation of a parabola to find a chord given its midpoint, or to extract the line passing through given chord endpoints.",Formula with Judgment,The student applies the T = S₁ relation or parametric chord formula with the given midpoint data. The judgment is in selecting the correct relation and the correct parabola form.
Q_M_17_108,N_M_18_011,Parabola as Differential Equation Path,"The student encounters a geometric or physical condition stated as a relationship involving tangent slopes or derivatives, must recognize it as a differential equation whose solution is a parabola, and then identify properties of that parabola.",Reverse Engineer,"The student must work entirely backwards: from a geometric condition on tangents, derive a differential equation, solve it to identify the curve as a parabola, and then extract its properties. This involves synthesizing differential equations with conic section knowledge — frameworks not typically taught together."
Q_M_17_108,N_M_18_006,Tangent-at-a-Point with External Constraint,"The student must write the tangent to the parabola at a given or parametric point, then impose an external geometric condition (passes through a given point, is perpendicular to a given line, also tangent to another curve) to determine the parameter.",Formula with Judgment,"The student recalls the tangent equation formula and applies the external constraint (passes through a point, perpendicularity). The judgment lies in choosing the correct form and applying the constraint, but no novel representation needs to be built."
Q_M_17_109,N_M_18_006,Tangent-at-a-Point with External Constraint,"The student must write the tangent to the parabola at a given or parametric point, then impose an external geometric condition (passes through a given point, is perpendicular to a given line, also tangent to another curve) to determine the parameter.",Formula with Judgment,"The student recalls the tangent equation formula and applies the external constraint (passes through a point, perpendicularity). The judgment lies in choosing the correct form and applying the constraint, but no novel representation needs to be built."
Q_M_17_109,N_M_18_014,Tangent-Pair Intersection Geometry,"The student must draw two tangents from an external point to the parabola (or find where tangents at two given points meet), then compute a geometric property of the resulting triangle or quadrilateral formed by the tangent pair, chord of contact, and focus.",Build Then Solve,"The student must find both tangent lines, their intersection, the chord of contact, and then compute geometric properties of the resulting triangle or quadrilateral. Multiple construction steps before the final computation."
Q_M_17_110,N_M_18_006,Tangent-at-a-Point with External Constraint,"The student must write the tangent to the parabola at a given or parametric point, then impose an external geometric condition (passes through a given point, is perpendicular to a given line, also tangent to another curve) to determine the parameter.",Formula with Judgment,"The student recalls the tangent equation formula and applies the external constraint (passes through a point, perpendicularity). The judgment lies in choosing the correct form and applying the constraint, but no novel representation needs to be built."
Q_M_17_110,N_M_18_013,Minimum Distance Optimization,"The student must set up a distance function between a fixed point (or curve) and a parametric point on the parabola, minimize it using calculus or geometric reasoning (normal foot), and extract the answer.",Build Then Solve,"The student must set up a distance function (or recognize the geometric shortcut via normals), take derivatives or apply geometric reasoning, then solve. The construction of the optimization framework is the main cognitive step."
Q_M_17_111,N_M_18_009,Focal Chord Harvesting,"Given one endpoint or a constraint on a focal chord, the student must use the parametric or endpoint relationship (t₁t₂ = −1 or equivalent) to extract the other endpoint and then compute a secondary quantity such as length, area, or tangent equation.",Formula with Judgment,"The student must recall the focal chord endpoint relation (t₁t₂ = −1 or equivalent), identify which endpoint data is given, extract the other, then compute a derived quantity. The cognitive load is in selecting the right formula and correctly interpreting the given data, not in building a novel setup."
Q_M_17_112,N_M_18_009,Focal Chord Harvesting,"Given one endpoint or a constraint on a focal chord, the student must use the parametric or endpoint relationship (t₁t₂ = −1 or equivalent) to extract the other endpoint and then compute a secondary quantity such as length, area, or tangent equation.",Formula with Judgment,"The student must recall the focal chord endpoint relation (t₁t₂ = −1 or equivalent), identify which endpoint data is given, extract the other, then compute a derived quantity. The cognitive load is in selecting the right formula and correctly interpreting the given data, not in building a novel setup."
Q_M_17_113,N_M_18_004,Multi-Conic Intersection Assembly,"The student must work simultaneously with a parabola and one or more other conics (circle, ellipse, hyperbola, rectangular hyperbola), finding intersection points, common tangents, or shared chords, requiring fluency switching between conic forms.",Build and Work Backwards,"The student must build the setup involving two or more conics AND often work backwards from a derived quantity (eccentricity of an ellipse, ratio of division) to determine intermediate parameters. Requires synthesizing frameworks from multiple conic sections."
Q_M_17_113,N_M_18_001,Circle-Parabola Contact Configuration,"The student must construct a circle that touches or passes through specific points on a parabola (and possibly another curve), requiring simultaneous tangency conditions (shared point and shared tangent slope) to determine circle parameters.",Build Then Solve,"The student must construct the circle equation using the tangency condition at the parabola point (shared point + shared slope), often combined with a second condition (passes through another point, touches an axis). The setup is the hard part."
Q_M_17_114,N_M_18_010,Chord Property Extraction,"The student must use the midpoint-chord relation (T = S₁) or parametric chord equation of a parabola to find a chord given its midpoint, or to extract the line passing through given chord endpoints.",Formula with Judgment,The student applies the T = S₁ relation or parametric chord formula with the given midpoint data. The judgment is in selecting the correct relation and the correct parabola form.
Q_M_17_114,N_M_18_006,Tangent-at-a-Point with External Constraint,"The student must write the tangent to the parabola at a given or parametric point, then impose an external geometric condition (passes through a given point, is perpendicular to a given line, also tangent to another curve) to determine the parameter.",Formula with Judgment,"The student recalls the tangent equation formula and applies the external constraint (passes through a point, perpendicularity). The judgment lies in choosing the correct form and applying the constraint, but no novel representation needs to be built."
Q_M_17_115,N_M_18_006,Tangent-at-a-Point with External Constraint,"The student must write the tangent to the parabola at a given or parametric point, then impose an external geometric condition (passes through a given point, is perpendicular to a given line, also tangent to another curve) to determine the parameter.",Formula with Judgment,"The student recalls the tangent equation formula and applies the external constraint (passes through a point, perpendicularity). The judgment lies in choosing the correct form and applying the constraint, but no novel representation needs to be built."
Q_M_17_116,N_M_18_007,Common Tangent Bridge,"The student must recognize that a line tangent to two different curves simultaneously creates a system of tangency conditions from two separate equations, then solve the coupled system to extract the line or a derived quantity.",Formula with Judgment to Build Then Solve,"At the simple end, the student recalls tangent-in-slope-form for both curves and equates — this is formula with judgment about which form to use. At the harder end (three curves involved, e.g., Q69 — common tangent to two parabolas also touching a circle), the student must build a multi-constraint system before solving."
Q_M_17_117,N_M_18_014,Tangent-Pair Intersection Geometry,"The student must draw two tangents from an external point to the parabola (or find where tangents at two given points meet), then compute a geometric property of the resulting triangle or quadrilateral formed by the tangent pair, chord of contact, and focus.",Build Then Solve,"The student must find both tangent lines, their intersection, the chord of contact, and then compute geometric properties of the resulting triangle or quadrilateral. Multiple construction steps before the final computation."
Q_M_17_118,N_M_18_006,Tangent-at-a-Point with External Constraint,"The student must write the tangent to the parabola at a given or parametric point, then impose an external geometric condition (passes through a given point, is perpendicular to a given line, also tangent to another curve) to determine the parameter.",Formula with Judgment,"The student recalls the tangent equation formula and applies the external constraint (passes through a point, perpendicularity). The judgment lies in choosing the correct form and applying the constraint, but no novel representation needs to be built."
Q_M_17_119,N_M_18_009,Focal Chord Harvesting,"Given one endpoint or a constraint on a focal chord, the student must use the parametric or endpoint relationship (t₁t₂ = −1 or equivalent) to extract the other endpoint and then compute a secondary quantity such as length, area, or tangent equation.",Formula with Judgment,"The student must recall the focal chord endpoint relation (t₁t₂ = −1 or equivalent), identify which endpoint data is given, extract the other, then compute a derived quantity. The cognitive load is in selecting the right formula and correctly interpreting the given data, not in building a novel setup."
Q_M_17_120,N_M_18_003,Area Computation on Parabolic Geometry,"The student must identify relevant geometric figures (triangles, quadrilaterals, regions) whose vertices lie on or are derived from the parabola, set up the area using coordinates or integration, and optimize or compute it.",Build Then Solve,"The student must identify the vertices of the geometric figure (often by finding intersection points or tangent meeting points), set up the area formula, and in optimization variants, also maximize. The figure must be constructed before computation."
Q_M_17_121,N_M_18_004,Multi-Conic Intersection Assembly,"The student must work simultaneously with a parabola and one or more other conics (circle, ellipse, hyperbola, rectangular hyperbola), finding intersection points, common tangents, or shared chords, requiring fluency switching between conic forms.",Build and Work Backwards,"The student must build the setup involving two or more conics AND often work backwards from a derived quantity (eccentricity of an ellipse, ratio of division) to determine intermediate parameters. Requires synthesizing frameworks from multiple conic sections."
Q_M_17_121,N_M_18_014,Tangent-Pair Intersection Geometry,"The student must draw two tangents from an external point to the parabola (or find where tangents at two given points meet), then compute a geometric property of the resulting triangle or quadrilateral formed by the tangent pair, chord of contact, and focus.",Build Then Solve,"The student must find both tangent lines, their intersection, the chord of contact, and then compute geometric properties of the resulting triangle or quadrilateral. Multiple construction steps before the final computation."
Q_M_17_122,N_M_18_014,Tangent-Pair Intersection Geometry,"The student must draw two tangents from an external point to the parabola (or find where tangents at two given points meet), then compute a geometric property of the resulting triangle or quadrilateral formed by the tangent pair, chord of contact, and focus.",Build Then Solve,"The student must find both tangent lines, their intersection, the chord of contact, and then compute geometric properties of the resulting triangle or quadrilateral. Multiple construction steps before the final computation."
Q_M_17_122,N_M_18_001,Circle-Parabola Contact Configuration,"The student must construct a circle that touches or passes through specific points on a parabola (and possibly another curve), requiring simultaneous tangency conditions (shared point and shared tangent slope) to determine circle parameters.",Build Then Solve,"The student must construct the circle equation using the tangency condition at the parabola point (shared point + shared slope), often combined with a second condition (passes through another point, touches an axis). The setup is the hard part."
Q_M_17_123,N_M_18_001,Circle-Parabola Contact Configuration,"The student must construct a circle that touches or passes through specific points on a parabola (and possibly another curve), requiring simultaneous tangency conditions (shared point and shared tangent slope) to determine circle parameters.",Build Then Solve,"The student must construct the circle equation using the tangency condition at the parabola point (shared point + shared slope), often combined with a second condition (passes through another point, touches an axis). The setup is the hard part."
Q_M_17_124,N_M_18_009,Focal Chord Harvesting,"Given one endpoint or a constraint on a focal chord, the student must use the parametric or endpoint relationship (t₁t₂ = −1 or equivalent) to extract the other endpoint and then compute a secondary quantity such as length, area, or tangent equation.",Formula with Judgment,"The student must recall the focal chord endpoint relation (t₁t₂ = −1 or equivalent), identify which endpoint data is given, extract the other, then compute a derived quantity. The cognitive load is in selecting the right formula and correctly interpreting the given data, not in building a novel setup."
Q_M_17_124,N_M_18_003,Area Computation on Parabolic Geometry,"The student must identify relevant geometric figures (triangles, quadrilaterals, regions) whose vertices lie on or are derived from the parabola, set up the area using coordinates or integration, and optimize or compute it.",Build Then Solve,"The student must identify the vertices of the geometric figure (often by finding intersection points or tangent meeting points), set up the area formula, and in optimization variants, also maximize. The figure must be constructed before computation."
Q_M_17_125,N_M_18_001,Circle-Parabola Contact Configuration,"The student must construct a circle that touches or passes through specific points on a parabola (and possibly another curve), requiring simultaneous tangency conditions (shared point and shared tangent slope) to determine circle parameters.",Build Then Solve,"The student must construct the circle equation using the tangency condition at the parabola point (shared point + shared slope), often combined with a second condition (passes through another point, touches an axis). The setup is the hard part."
Q_M_17_126,N_M_18_007,Common Tangent Bridge,"The student must recognize that a line tangent to two different curves simultaneously creates a system of tangency conditions from two separate equations, then solve the coupled system to extract the line or a derived quantity.",Formula with Judgment to Build Then Solve,"At the simple end, the student recalls tangent-in-slope-form for both curves and equates — this is formula with judgment about which form to use. At the harder end (three curves involved, e.g., Q69 — common tangent to two parabolas also touching a circle), the student must build a multi-constraint system before solving."
Q_M_17_126,N_M_18_004,Multi-Conic Intersection Assembly,"The student must work simultaneously with a parabola and one or more other conics (circle, ellipse, hyperbola, rectangular hyperbola), finding intersection points, common tangents, or shared chords, requiring fluency switching between conic forms.",Build and Work Backwards,"The student must build the setup involving two or more conics AND often work backwards from a derived quantity (eccentricity of an ellipse, ratio of division) to determine intermediate parameters. Requires synthesizing frameworks from multiple conic sections."
Q_M_17_127,N_M_18_002,Construct-the-Parabola-from-Parts,"The student must assemble the equation of a parabola from non-standard defining information (focus and directrix not axis-aligned, vertex and directrix at arbitrary orientation), requiring use of the distance definition or rotation/translation.",Build Then Solve,"The student must construct the parabola equation from the distance definition when the axis is not aligned with coordinate axes, requiring coordinate geometry setup before any formula applies."
Q_M_17_127,N_M_18_012,Reflection and Image Transformation,"The student must compute the mirror image of a parabola (or points on it) with respect to a given line, requiring coordinate transformation via reflection formulas and then re-deriving the equation in the new coordinates.",Build Then Solve,"The student must apply coordinate reflection formulas to transform the parabola point-by-point or algebraically, then derive the image equation — a construction step precedes any property extraction."
Q_M_17_128,N_M_18_006,Tangent-at-a-Point with External Constraint,"The student must write the tangent to the parabola at a given or parametric point, then impose an external geometric condition (passes through a given point, is perpendicular to a given line, also tangent to another curve) to determine the parameter.",Formula with Judgment,"The student recalls the tangent equation formula and applies the external constraint (passes through a point, perpendicularity). The judgment lies in choosing the correct form and applying the constraint, but no novel representation needs to be built."
Q_M_17_128,N_M_18_001,Circle-Parabola Contact Configuration,"The student must construct a circle that touches or passes through specific points on a parabola (and possibly another curve), requiring simultaneous tangency conditions (shared point and shared tangent slope) to determine circle parameters.",Build Then Solve,"The student must construct the circle equation using the tangency condition at the parabola point (shared point + shared slope), often combined with a second condition (passes through another point, touches an axis). The setup is the hard part."
Q_M_17_129,N_M_18_013,Minimum Distance Optimization,"The student must set up a distance function between a fixed point (or curve) and a parametric point on the parabola, minimize it using calculus or geometric reasoning (normal foot), and extract the answer.",Build Then Solve,"The student must set up a distance function (or recognize the geometric shortcut via normals), take derivatives or apply geometric reasoning, then solve. The construction of the optimization framework is the main cognitive step."
Q_M_17_130,N_M_18_007,Common Tangent Bridge,"The student must recognize that a line tangent to two different curves simultaneously creates a system of tangency conditions from two separate equations, then solve the coupled system to extract the line or a derived quantity.",Formula with Judgment to Build Then Solve,"At the simple end, the student recalls tangent-in-slope-form for both curves and equates — this is formula with judgment about which form to use. At the harder end (three curves involved, e.g., Q69 — common tangent to two parabolas also touching a circle), the student must build a multi-constraint system before solving."
Q_M_17_130,N_M_18_009,Focal Chord Harvesting,"Given one endpoint or a constraint on a focal chord, the student must use the parametric or endpoint relationship (t₁t₂ = −1 or equivalent) to extract the other endpoint and then compute a secondary quantity such as length, area, or tangent equation.",Formula with Judgment,"The student must recall the focal chord endpoint relation (t₁t₂ = −1 or equivalent), identify which endpoint data is given, extract the other, then compute a derived quantity. The cognitive load is in selecting the right formula and correctly interpreting the given data, not in building a novel setup."
Q_M_17_131,N_M_18_007,Common Tangent Bridge,"The student must recognize that a line tangent to two different curves simultaneously creates a system of tangency conditions from two separate equations, then solve the coupled system to extract the line or a derived quantity.",Formula with Judgment to Build Then Solve,"At the simple end, the student recalls tangent-in-slope-form for both curves and equates — this is formula with judgment about which form to use. At the harder end (three curves involved, e.g., Q69 — common tangent to two parabolas also touching a circle), the student must build a multi-constraint system before solving."
Q_M_17_132,N_M_18_005,Normal Equations and Concurrency,"The student must write the equation of the normal to the parabola at a parametric point, then apply conditions such as passage through a fixed point, concurrency of normals, or intersection with the parabola again to derive constraints on the parameter.",Formula with Judgment to Build Then Solve,"Simple versions require applying the normal formula and a passage condition. Complex versions (three normals, common normal to two parabolas) require building systems of equations from the cubic in slope form and analyzing feasibility conditions."
Q_M_17_133,N_M_18_003,Area Computation on Parabolic Geometry,"The student must identify relevant geometric figures (triangles, quadrilaterals, regions) whose vertices lie on or are derived from the parabola, set up the area using coordinates or integration, and optimize or compute it.",Build Then Solve,"The student must identify the vertices of the geometric figure (often by finding intersection points or tangent meeting points), set up the area formula, and in optimization variants, also maximize. The figure must be constructed before computation."
Q_M_17_133,N_M_18_006,Tangent-at-a-Point with External Constraint,"The student must write the tangent to the parabola at a given or parametric point, then impose an external geometric condition (passes through a given point, is perpendicular to a given line, also tangent to another curve) to determine the parameter.",Formula with Judgment,"The student recalls the tangent equation formula and applies the external constraint (passes through a point, perpendicularity). The judgment lies in choosing the correct form and applying the constraint, but no novel representation needs to be built."
Q_M_02_201,N_M_02_006,Monotonicity Interval Identification,"The student must compute f'(x), factor or sign-analyze it (often involving trigonometric or composite expressions), and determine the exact intervals where f is increasing or decreasing.",Formula with Judgment,"The formula f'(x) > 0 ↔ increasing is standard. The judgment lies in factoring/sign-analyzing f'(x), especially for trigonometric or product-form derivatives."
Q_M_02_201,N_M_02_010,Tangent/Normal Equation Construction,"The student must compute the derivative at a specific point (often requiring implicit differentiation or parametric differentiation), form the equation of the tangent or normal line, and then verify a secondary condition such as which point it passes through.",Formula with Judgment to Build Then Solve,"Simple cases (explicit curve, given point) are Formula with Judgment. Complex cases (implicit curves, tangent meeting curve again, unknown parameters) require building a representation first."
Q_M_02_202,N_M_02_014,Extrema of Non-Smooth or Piecewise Functions,"The student must identify extrema of functions involving absolute values, greatest integer functions, or piecewise definitions, where standard f'(x) = 0 does not apply and instead corner analysis, sign changes, and interval-by-interval reasoning are required.",Build Then Solve,"The student must first decompose the domain into smooth pieces, analyze each piece separately, and then compare values at boundaries and critical points — the problem structure must be built before computation."
Q_M_02_203,N_M_02_012,Rate Chain Assembly,"The student must identify which geometric quantities are linked by a formula, differentiate implicitly with respect to time, and substitute known instantaneous rates and measurements to find an unknown rate.",Formula with Judgment,"The formulas (V = πr²h, A = 4πr², chain rule dV/dt) are standard, but the student must judge which geometric relationship links the variables and decide what to substitute and when."
Q_M_02_204,N_M_02_010,Tangent/Normal Equation Construction,"The student must compute the derivative at a specific point (often requiring implicit differentiation or parametric differentiation), form the equation of the tangent or normal line, and then verify a secondary condition such as which point it passes through.",Formula with Judgment to Build Then Solve,"Simple cases (explicit curve, given point) are Formula with Judgment. Complex cases (implicit curves, tangent meeting curve again, unknown parameters) require building a representation first."
Q_M_02_205,N_M_02_014,Extrema of Non-Smooth or Piecewise Functions,"The student must identify extrema of functions involving absolute values, greatest integer functions, or piecewise definitions, where standard f'(x) = 0 does not apply and instead corner analysis, sign changes, and interval-by-interval reasoning are required.",Build Then Solve,"The student must first decompose the domain into smooth pieces, analyze each piece separately, and then compare values at boundaries and critical points — the problem structure must be built before computation."
Q_M_02_206,N_M_02_008,Polynomial Reconstruction from Derivative Clues,"The student must reconstruct an unknown polynomial from a combination of value conditions (f(a) = k), derivative conditions (f'(b) = 0, f''(c) = 0), and limit conditions (lim f(x)/x^n = L), then compute a specific output.",Build and Work Backwards,"The student must work backwards from limit conditions and critical point locations to determine coefficients of an unknown polynomial, combining multiple constraint types that are never taught together as a single method."
Q_M_02_207,N_M_02_006,Monotonicity Interval Identification,"The student must compute f'(x), factor or sign-analyze it (often involving trigonometric or composite expressions), and determine the exact intervals where f is increasing or decreasing.",Formula with Judgment,"The formula f'(x) > 0 ↔ increasing is standard. The judgment lies in factoring/sign-analyzing f'(x), especially for trigonometric or product-form derivatives."
Q_M_02_208,N_M_02_011,Root Counting via Derivative Landscape,"The student must analyze the derivative to determine the shape (number of turning points, monotonicity intervals) of a polynomial or transcendental function, then use this to count how many times the function crosses zero or equals a given value.",Build Then Solve,"The student must first analyze f'(x) to determine turning points and the shape of f(x), then use this constructed landscape to count zero crossings — a multi-step reasoning chain."
Q_M_02_209,N_M_02_013,Constrained Geometric Optimization,"The student must express a geometric quantity (area, volume) as a single-variable function by eliminating variables using a geometric or algebraic constraint, then optimize using calculus.",Build Then Solve,"The student must model the geometric situation as an objective function with a constraint, reduce to one variable, then apply standard calculus. The construction step is the cognitive bottleneck."
Q_M_02_210,N_M_02_008,Polynomial Reconstruction from Derivative Clues,"The student must reconstruct an unknown polynomial from a combination of value conditions (f(a) = k), derivative conditions (f'(b) = 0, f''(c) = 0), and limit conditions (lim f(x)/x^n = L), then compute a specific output.",Build and Work Backwards,"The student must work backwards from limit conditions and critical point locations to determine coefficients of an unknown polynomial, combining multiple constraint types that are never taught together as a single method."
Q_M_02_211,N_M_02_010,Tangent/Normal Equation Construction,"The student must compute the derivative at a specific point (often requiring implicit differentiation or parametric differentiation), form the equation of the tangent or normal line, and then verify a secondary condition such as which point it passes through.",Formula with Judgment to Build Then Solve,"Simple cases (explicit curve, given point) are Formula with Judgment. Complex cases (implicit curves, tangent meeting curve again, unknown parameters) require building a representation first."
Q_M_02_212,N_M_02_011,Root Counting via Derivative Landscape,"The student must analyze the derivative to determine the shape (number of turning points, monotonicity intervals) of a polynomial or transcendental function, then use this to count how many times the function crosses zero or equals a given value.",Build Then Solve,"The student must first analyze f'(x) to determine turning points and the shape of f(x), then use this constructed landscape to count zero crossings — a multi-step reasoning chain."
Q_M_02_213,N_M_02_004,Orthogonality of Curve Families,"The student must compute slopes of two curves at their intersection point(s) using implicit differentiation, set the product of slopes to −1, and solve for the unknown parameter.",Formula with Judgment,The condition m₁·m₂ = −1 is standard. Judgment is needed to correctly compute slopes via implicit differentiation at intersection points and handle the simultaneous-equation aspect.
Q_M_02_214,N_M_02_008,Polynomial Reconstruction from Derivative Clues,"The student must reconstruct an unknown polynomial from a combination of value conditions (f(a) = k), derivative conditions (f'(b) = 0, f''(c) = 0), and limit conditions (lim f(x)/x^n = L), then compute a specific output.",Build and Work Backwards,"The student must work backwards from limit conditions and critical point locations to determine coefficients of an unknown polynomial, combining multiple constraint types that are never taught together as a single method."
