question_id,error_id,error_name,error_type,description
Q_M_16_155,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_156,ERR_M_17_001,Transpose-vs-inverse conflation,Conceptual error,"The student treats Aᵀ as A⁻¹ (or vice versa) when the matrix is not orthogonal, leading to incorrect simplification in expressions involving both."
Q_M_16_156,ERR_M_17_002,Matrix periodicity off-by-one,Procedural error,"The student correctly identifies that Aᵏ = I for some k but computes A^n mod k incorrectly due to off-by-one errors in the exponent reduction, especially when the problem asks for Aⁿ − Aᵐ."
Q_M_16_157,ERR_M_17_002,Matrix periodicity off-by-one,Procedural error,"The student correctly identifies that Aᵏ = I for some k but computes A^n mod k incorrectly due to off-by-one errors in the exponent reduction, especially when the problem asks for Aⁿ − Aᵐ."
Q_M_16_157,ERR_M_17_004,Nilpotent power misidentification,Setup error,The student fails to recognize that a matrix is nilpotent (Aᵏ = O for some k) and attempts to compute high powers by repeated multiplication instead of truncating the expansion.
Q_M_16_158,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_159,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_160,ERR_M_17_005,Eigenvalue-determinant disconnect,Setup error,"The student correctly finds eigenvalues from the characteristic equation but fails to use them to compute det(A) (product of eigenvalues) or trace(A) (sum of eigenvalues), instead attempting to reconstruct the full matrix."
Q_M_16_161,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_162,ERR_M_17_001,Transpose-vs-inverse conflation,Conceptual error,"The student treats Aᵀ as A⁻¹ (or vice versa) when the matrix is not orthogonal, leading to incorrect simplification in expressions involving both."
Q_M_16_163,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_164,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_165,ERR_M_17_005,Eigenvalue-determinant disconnect,Setup error,"The student correctly finds eigenvalues from the characteristic equation but fails to use them to compute det(A) (product of eigenvalues) or trace(A) (sum of eigenvalues), instead attempting to reconstruct the full matrix."
Q_M_16_166,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_167,ERR_M_17_001,Transpose-vs-inverse conflation,Conceptual error,"The student treats Aᵀ as A⁻¹ (or vice versa) when the matrix is not orthogonal, leading to incorrect simplification in expressions involving both."
Q_M_16_168,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_169,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_170,ERR_M_17_006,Row operation sign error in determinant,Procedural error,The student applies row or column operations to simplify a determinant but forgets to account for the sign change introduced by row swaps or incorrectly factors out negatives.
Q_M_16_171,ERR_M_17_004,Nilpotent power misidentification,Setup error,The student fails to recognize that a matrix is nilpotent (Aᵏ = O for some k) and attempts to compute high powers by repeated multiplication instead of truncating the expansion.
Q_M_16_172,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_173,ERR_M_17_001,Transpose-vs-inverse conflation,Conceptual error,"The student treats Aᵀ as A⁻¹ (or vice versa) when the matrix is not orthogonal, leading to incorrect simplification in expressions involving both."
Q_M_16_174,ERR_M_17_001,Transpose-vs-inverse conflation,Conceptual error,"The student treats Aᵀ as A⁻¹ (or vice versa) when the matrix is not orthogonal, leading to incorrect simplification in expressions involving both."
Q_M_16_174,ERR_M_17_002,Matrix periodicity off-by-one,Procedural error,"The student correctly identifies that Aᵏ = I for some k but computes A^n mod k incorrectly due to off-by-one errors in the exponent reduction, especially when the problem asks for Aⁿ − Aᵐ."
Q_M_16_175,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_175,ERR_M_17_007,Scalar-multiple determinant confusion,Conceptual error,"The student computes det(kA) as k·det(A) instead of kⁿ·det(A) for an n×n matrix, a persistent error when scalar multiples appear inside nested adjoint expressions."
Q_M_16_176,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_177,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_178,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_179,ERR_M_17_003,Homogeneous system conflation with non-homogeneous,Conceptual error,"The student confuses the condition for non-trivial solutions of a homogeneous system (det = 0) with the condition for infinite solutions of a non-homogeneous system (det = 0 AND consistency), or vice versa."
Q_M_16_180,ERR_M_17_006,Row operation sign error in determinant,Procedural error,The student applies row or column operations to simplify a determinant but forgets to account for the sign change introduced by row swaps or incorrectly factors out negatives.
Q_M_16_181,ERR_M_17_006,Row operation sign error in determinant,Procedural error,The student applies row or column operations to simplify a determinant but forgets to account for the sign change introduced by row swaps or incorrectly factors out negatives.
Q_M_16_182,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_183,ERR_M_17_003,Homogeneous system conflation with non-homogeneous,Conceptual error,"The student confuses the condition for non-trivial solutions of a homogeneous system (det = 0) with the condition for infinite solutions of a non-homogeneous system (det = 0 AND consistency), or vice versa."
Q_M_16_184,ERR_M_17_001,Transpose-vs-inverse conflation,Conceptual error,"The student treats Aᵀ as A⁻¹ (or vice versa) when the matrix is not orthogonal, leading to incorrect simplification in expressions involving both."
Q_M_16_185,ERR_M_17_002,Matrix periodicity off-by-one,Procedural error,"The student correctly identifies that Aᵏ = I for some k but computes A^n mod k incorrectly due to off-by-one errors in the exponent reduction, especially when the problem asks for Aⁿ − Aᵐ."
Q_M_16_185,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_186,ERR_M_17_005,Eigenvalue-determinant disconnect,Setup error,"The student correctly finds eigenvalues from the characteristic equation but fails to use them to compute det(A) (product of eigenvalues) or trace(A) (sum of eigenvalues), instead attempting to reconstruct the full matrix."
Q_M_16_187,ERR_M_17_005,Eigenvalue-determinant disconnect,Setup error,"The student correctly finds eigenvalues from the characteristic equation but fails to use them to compute det(A) (product of eigenvalues) or trace(A) (sum of eigenvalues), instead attempting to reconstruct the full matrix."
Q_M_16_188,ERR_M_17_009,AᵀA diagonal misinterpretation,Conceptual error,"The student misinterprets 'sum of diagonal elements of AᵀA' as trace(A²) or as sum of squared diagonal entries, rather than recognizing it equals the sum of squares of all entries of A."
Q_M_16_189,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_190,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_191,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_192,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_193,ERR_M_17_005,Eigenvalue-determinant disconnect,Setup error,"The student correctly finds eigenvalues from the characteristic equation but fails to use them to compute det(A) (product of eigenvalues) or trace(A) (sum of eigenvalues), instead attempting to reconstruct the full matrix."
Q_M_16_194,ERR_M_17_007,Scalar-multiple determinant confusion,Conceptual error,"The student computes det(kA) as k·det(A) instead of kⁿ·det(A) for an n×n matrix, a persistent error when scalar multiples appear inside nested adjoint expressions."
Q_M_16_195,ERR_M_17_004,Nilpotent power misidentification,Setup error,The student fails to recognize that a matrix is nilpotent (Aᵏ = O for some k) and attempts to compute high powers by repeated multiplication instead of truncating the expansion.
Q_M_16_196,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_197,ERR_M_17_004,Nilpotent power misidentification,Setup error,The student fails to recognize that a matrix is nilpotent (Aᵏ = O for some k) and attempts to compute high powers by repeated multiplication instead of truncating the expansion.
Q_M_16_198,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_199,ERR_M_17_007,Scalar-multiple determinant confusion,Conceptual error,"The student computes det(kA) as k·det(A) instead of kⁿ·det(A) for an n×n matrix, a persistent error when scalar multiples appear inside nested adjoint expressions."
Q_M_16_199,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_200,ERR_M_17_006,Row operation sign error in determinant,Procedural error,The student applies row or column operations to simplify a determinant but forgets to account for the sign change introduced by row swaps or incorrectly factors out negatives.
Q_M_16_201,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_201,ERR_M_17_007,Scalar-multiple determinant confusion,Conceptual error,"The student computes det(kA) as k·det(A) instead of kⁿ·det(A) for an n×n matrix, a persistent error when scalar multiples appear inside nested adjoint expressions."
Q_M_16_202,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_203,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_204,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_204,ERR_M_17_007,Scalar-multiple determinant confusion,Conceptual error,"The student computes det(kA) as k·det(A) instead of kⁿ·det(A) for an n×n matrix, a persistent error when scalar multiples appear inside nested adjoint expressions."
Q_M_16_205,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_206,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_207,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_208,ERR_M_17_004,Nilpotent power misidentification,Setup error,The student fails to recognize that a matrix is nilpotent (Aᵏ = O for some k) and attempts to compute high powers by repeated multiplication instead of truncating the expansion.
Q_M_16_208,ERR_M_17_002,Matrix periodicity off-by-one,Procedural error,"The student correctly identifies that Aᵏ = I for some k but computes A^n mod k incorrectly due to off-by-one errors in the exponent reduction, especially when the problem asks for Aⁿ − Aᵐ."
Q_M_16_209,ERR_M_17_003,Homogeneous system conflation with non-homogeneous,Conceptual error,"The student confuses the condition for non-trivial solutions of a homogeneous system (det = 0) with the condition for infinite solutions of a non-homogeneous system (det = 0 AND consistency), or vice versa."
Q_M_16_210,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_211,ERR_M_17_008,Adjoint exponent miscalculation,Procedural error,"The student applies |adj(A)| = |A|^(n-1) but uses the wrong value of n (matrix order), or forgets to apply it recursively when adj is nested, or confuses |adj(adj(A))| with |adj(A)|²."
Q_M_16_212,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_213,ERR_M_17_003,Homogeneous system conflation with non-homogeneous,Conceptual error,"The student confuses the condition for non-trivial solutions of a homogeneous system (det = 0) with the condition for infinite solutions of a non-homogeneous system (det = 0 AND consistency), or vice versa."
Q_M_16_214,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_215,ERR_M_17_006,Row operation sign error in determinant,Procedural error,The student applies row or column operations to simplify a determinant but forgets to account for the sign change introduced by row swaps or incorrectly factors out negatives.
Q_M_16_216,ERR_M_17_006,Row operation sign error in determinant,Procedural error,The student applies row or column operations to simplify a determinant but forgets to account for the sign change introduced by row swaps or incorrectly factors out negatives.
Q_M_16_217,ERR_M_17_006,Row operation sign error in determinant,Procedural error,The student applies row or column operations to simplify a determinant but forgets to account for the sign change introduced by row swaps or incorrectly factors out negatives.
Q_M_16_218,ERR_M_17_010,Consistency check omission in systems,Setup error,"The student sets det(coefficient matrix) = 0 to find parameters for infinite solutions but neglects to verify that the augmented matrix has the same rank, leading to reporting 'infinite solutions' when the system is actually inconsistent."
Q_M_16_219,ERR_M_17_004,Nilpotent power misidentification,Setup error,The student fails to recognize that a matrix is nilpotent (Aᵏ = O for some k) and attempts to compute high powers by repeated multiplication instead of truncating the expansion.
Q_M_16_220,ERR_M_17_002,Matrix periodicity off-by-one,Procedural error,"The student correctly identifies that Aᵏ = I for some k but computes A^n mod k incorrectly due to off-by-one errors in the exponent reduction, especially when the problem asks for Aⁿ − Aᵐ."
Q_M_16_221,ERR_M_17_003,Homogeneous system conflation with non-homogeneous,Conceptual error,"The student confuses the condition for non-trivial solutions of a homogeneous system (det = 0) with the condition for infinite solutions of a non-homogeneous system (det = 0 AND consistency), or vice versa."
Q_M_16_222,ERR_M_17_001,Transpose-vs-inverse conflation,Conceptual error,"The student treats Aᵀ as A⁻¹ (or vice versa) when the matrix is not orthogonal, leading to incorrect simplification in expressions involving both."
Q_M_16_222,ERR_M_17_002,Matrix periodicity off-by-one,Procedural error,"The student correctly identifies that Aᵏ = I for some k but computes A^n mod k incorrectly due to off-by-one errors in the exponent reduction, especially when the problem asks for Aⁿ − Aᵐ."
Q_M_16_223,ERR_M_17_005,Eigenvalue-determinant disconnect,Setup error,"The student correctly finds eigenvalues from the characteristic equation but fails to use them to compute det(A) (product of eigenvalues) or trace(A) (sum of eigenvalues), instead attempting to reconstruct the full matrix."
Q_M_16_224,ERR_M_17_005,Eigenvalue-determinant disconnect,Setup error,"The student correctly finds eigenvalues from the characteristic equation but fails to use them to compute det(A) (product of eigenvalues) or trace(A) (sum of eigenvalues), instead attempting to reconstruct the full matrix."
Q_M_16_225,ERR_M_17_006,Row operation sign error in determinant,Procedural error,The student applies row or column operations to simplify a determinant but forgets to account for the sign change introduced by row swaps or incorrectly factors out negatives.
Q_M_12_078,ERR_M_13_003,Missed structural substitution,Setup error,"Student fails to recognize that dividing numerator and denominator by x^n reveals a t = x^k + x^(−k) substitution, and instead attempts brute-force partial fractions or expansion."
Q_M_12_078,ERR_M_13_006,Forgetting the constant when evaluating,Procedural error,"Student integrates correctly but forgets to use the given initial condition (f(0) = 0, I(0) = 3, etc.) to determine the constant of integration before evaluating at the target point."
Q_M_12_079,ERR_M_13_008,Dropping absolute value in logarithmic results,Procedural error,"Student omits the absolute value in log|f(x)| when the argument can be negative in the domain, or incorrectly handles it during evaluation, getting the wrong numerical answer."
Q_M_12_079,ERR_M_13_007,Coefficient mismatch in parameter extraction,Procedural error,"After correctly integrating, the student makes an arithmetic error when matching their answer to the given parametric form, extracting wrong values for α, β, K, A etc."
Q_M_17_076,ERR_M_18_007,Missing Branch in Common Tangent,Procedural error,"When finding common tangents to a parabola and another curve, the student finds only tangent lines with positive slope and misses negative-slope solutions (or vice versa), forgetting that tangency conditions can yield multiple valid slopes."
Q_M_17_077,ERR_M_18_005,Tangent-Normal Interchange,Procedural error,"The student writes the normal equation when the tangent is needed or vice versa, confusing the slope of the tangent (1/t) with the slope of the normal (−t) at a parametric point."
Q_M_17_078,ERR_M_18_007,Missing Branch in Common Tangent,Procedural error,"When finding common tangents to a parabola and another curve, the student finds only tangent lines with positive slope and misses negative-slope solutions (or vice versa), forgetting that tangency conditions can yield multiple valid slopes."
Q_M_17_079,ERR_M_18_004,Ignoring Latus Rectum Scaling,Setup error,"When the parabola is y² = 4ax, the student reads a = 1 regardless of the coefficient (e.g., for y² = 12x, using a = 1 instead of a = 3), leading to wrong focus, directrix, and all derived quantities."
Q_M_17_080,ERR_M_18_005,Tangent-Normal Interchange,Procedural error,"The student writes the normal equation when the tangent is needed or vice versa, confusing the slope of the tangent (1/t) with the slope of the normal (−t) at a parametric point."
Q_M_17_081,ERR_M_18_004,Ignoring Latus Rectum Scaling,Setup error,"When the parabola is y² = 4ax, the student reads a = 1 regardless of the coefficient (e.g., for y² = 12x, using a = 1 instead of a = 3), leading to wrong focus, directrix, and all derived quantities."
Q_M_17_081,ERR_M_18_010,Sign Error in Focal Chord Relation,Procedural error,"The student uses t₁t₂ = 1 instead of t₁t₂ = −1 for focal chord endpoints, or confuses the sign convention when one endpoint has a negative parameter."
Q_M_17_082,ERR_M_18_005,Tangent-Normal Interchange,Procedural error,"The student writes the normal equation when the tangent is needed or vice versa, confusing the slope of the tangent (1/t) with the slope of the normal (−t) at a parametric point."
Q_M_17_083,ERR_M_18_011,Minimum Distance via Wrong Foot-of-Normal,Procedural error,"The student correctly identifies that the closest point on the parabola lies along the normal but solves for the wrong root of the cubic normal equation, selecting a point that gives a local maximum or saddle point instead of the minimum."
Q_M_17_084,ERR_M_18_004,Ignoring Latus Rectum Scaling,Setup error,"When the parabola is y² = 4ax, the student reads a = 1 regardless of the coefficient (e.g., for y² = 12x, using a = 1 instead of a = 3), leading to wrong focus, directrix, and all derived quantities."
Q_M_17_085,ERR_M_18_001,Area Sign Neglect for Oriented Triangles,Procedural error,"When computing the area of a triangle whose vertices lie on the parabola using the determinant formula, the student neglects absolute value and reports a negative area or misidentifies the orientation."
Q_M_17_086,ERR_M_18_001,Area Sign Neglect for Oriented Triangles,Procedural error,"When computing the area of a triangle whose vertices lie on the parabola using the determinant formula, the student neglects absolute value and reports a negative area or misidentifies the orientation."
Q_M_17_087,ERR_M_18_009,Wrong Tangent Condition for Non-Standard Parabola,Setup error,The student applies the tangency condition c = a/m valid for y² = 4ax directly to a shifted parabola y² = 4a(x − h) or y² = 4ax + k without adjusting for the translation.
Q_M_17_088,ERR_M_18_004,Ignoring Latus Rectum Scaling,Setup error,"When the parabola is y² = 4ax, the student reads a = 1 regardless of the coefficient (e.g., for y² = 12x, using a = 1 instead of a = 3), leading to wrong focus, directrix, and all derived quantities."
Q_M_17_089,ERR_M_18_009,Wrong Tangent Condition for Non-Standard Parabola,Setup error,The student applies the tangency condition c = a/m valid for y² = 4ax directly to a shifted parabola y² = 4a(x − h) or y² = 4ax + k without adjusting for the translation.
Q_M_17_090,ERR_M_18_001,Area Sign Neglect for Oriented Triangles,Procedural error,"When computing the area of a triangle whose vertices lie on the parabola using the determinant formula, the student neglects absolute value and reports a negative area or misidentifies the orientation."
Q_M_17_091,ERR_M_18_009,Wrong Tangent Condition for Non-Standard Parabola,Setup error,The student applies the tangency condition c = a/m valid for y² = 4ax directly to a shifted parabola y² = 4a(x − h) or y² = 4ax + k without adjusting for the translation.
Q_M_17_092,ERR_M_18_005,Tangent-Normal Interchange,Procedural error,"The student writes the normal equation when the tangent is needed or vice versa, confusing the slope of the tangent (1/t) with the slope of the normal (−t) at a parametric point."
Q_M_17_093,ERR_M_18_007,Missing Branch in Common Tangent,Procedural error,"When finding common tangents to a parabola and another curve, the student finds only tangent lines with positive slope and misses negative-slope solutions (or vice versa), forgetting that tangency conditions can yield multiple valid slopes."
Q_M_17_094,ERR_M_18_011,Minimum Distance via Wrong Foot-of-Normal,Procedural error,"The student correctly identifies that the closest point on the parabola lies along the normal but solves for the wrong root of the cubic normal equation, selecting a point that gives a local maximum or saddle point instead of the minimum."
Q_M_17_094,ERR_M_18_005,Tangent-Normal Interchange,Procedural error,"The student writes the normal equation when the tangent is needed or vice versa, confusing the slope of the tangent (1/t) with the slope of the normal (−t) at a parametric point."
Q_M_17_095,ERR_M_18_005,Tangent-Normal Interchange,Procedural error,"The student writes the normal equation when the tangent is needed or vice versa, confusing the slope of the tangent (1/t) with the slope of the normal (−t) at a parametric point."
Q_M_17_095,ERR_M_18_004,Ignoring Latus Rectum Scaling,Setup error,"When the parabola is y² = 4ax, the student reads a = 1 regardless of the coefficient (e.g., for y² = 12x, using a = 1 instead of a = 3), leading to wrong focus, directrix, and all derived quantities."
Q_M_17_096,ERR_M_18_004,Ignoring Latus Rectum Scaling,Setup error,"When the parabola is y² = 4ax, the student reads a = 1 regardless of the coefficient (e.g., for y² = 12x, using a = 1 instead of a = 3), leading to wrong focus, directrix, and all derived quantities."
Q_M_17_097,ERR_M_18_007,Missing Branch in Common Tangent,Procedural error,"When finding common tangents to a parabola and another curve, the student finds only tangent lines with positive slope and misses negative-slope solutions (or vice versa), forgetting that tangency conditions can yield multiple valid slopes."
