question_id,topic,concept_name
Q_M_01_043,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_044,3D Geometry,Shortest distance between two skew lines
Q_M_01_044,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_045,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_046,3D Geometry,Shortest distance between two skew lines
Q_M_01_047,3D Geometry,Image or reflection of a point in a line
Q_M_01_047,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_047,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_048,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_049,3D Geometry,Shortest distance between two skew lines
Q_M_01_050,3D Geometry,Image or reflection of a point in a line
Q_M_01_050,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_051,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_052,3D Geometry,Line-plane intersection point determination
Q_M_01_052,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_053,3D Geometry,Line-plane intersection point determination
Q_M_01_053,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_054,3D Geometry,Line through two points in 3D
Q_M_01_054,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_055,3D Geometry,Line through two points in 3D
Q_M_01_055,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_055,3D Geometry,Projection of a line onto a plane
Q_M_01_056,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_056,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_057,3D Geometry,Image or reflection of a point in a line
Q_M_01_057,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_058,3D Geometry,Shortest distance between two skew lines
Q_M_01_058,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_059,3D Geometry,Image or reflection of a point in a line
Q_M_01_059,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_060,3D Geometry,Shortest distance between two skew lines
Q_M_01_060,3D Geometry,Line through two points in 3D
Q_M_01_060,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_061,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_061,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_062,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_062,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_063,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_064,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_065,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_066,3D Geometry,Line-plane intersection point determination
Q_M_01_066,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_067,3D Geometry,Image or reflection of a point in a line
Q_M_01_067,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_067,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_068,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_069,3D Geometry,Shortest distance between two skew lines
Q_M_01_069,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_070,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_070,3D Geometry,Foot of perpendicular from point to plane
Q_M_01_071,3D Geometry,Distance of a point from a plane
Q_M_01_072,3D Geometry,Shortest distance between two skew lines
Q_M_01_072,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_073,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_074,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_074,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_075,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_075,3D Geometry,Distance of a point from a plane
Q_M_01_076,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_076,3D Geometry,Distance of a point from a plane
Q_M_01_077,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_077,3D Geometry,Shortest distance between two skew lines
Q_M_01_078,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_078,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_079,3D Geometry,Plane rotation about the line of intersection with another plane
Q_M_01_079,3D Geometry,Distance of a point from a plane
Q_M_01_080,3D Geometry,Line-plane intersection point determination
Q_M_01_080,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_081,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_081,3D Geometry,Distance of a point from a plane
Q_M_01_082,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_082,3D Geometry,Image of point in plane
Q_M_01_083,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_083,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_084,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_084,3D Geometry,Image of point in plane
Q_M_01_084,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_085,3D Geometry,Line-plane intersection point determination
Q_M_01_085,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_085,3D Geometry,Distance of a point from a plane
Q_M_01_086,3D Geometry,Shortest distance between two skew lines
Q_M_01_087,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_087,3D Geometry,Image of point in plane
Q_M_01_087,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_088,3D Geometry,Line-plane intersection point determination
Q_M_01_088,3D Geometry,Distance of a point from a plane
Q_M_01_089,3D Geometry,Angle between a line and a plane
Q_M_01_089,3D Geometry,Distance of a point from a plane
Q_M_01_090,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_090,3D Geometry,Image of point in plane
Q_M_01_090,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_091,3D Geometry,Shortest distance between two skew lines
Q_M_01_092,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_092,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_093,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_093,3D Geometry,Distance of a point from a plane
Q_M_01_094,3D Geometry,Line through a point intersecting two given lines
Q_M_01_094,3D Geometry,Angle between a line and a plane
Q_M_01_094,3D Geometry,Line-plane intersection point determination
Q_M_01_095,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_095,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_096,3D Geometry,Shortest distance between two skew lines
Q_M_01_097,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_097,3D Geometry,Angle between two planes
Q_M_01_097,3D Geometry,Distance of a point from a plane
Q_M_01_098,3D Geometry,Shortest distance between two skew lines
Q_M_01_099,3D Geometry,Image of point in plane
Q_M_01_099,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_099,3D Geometry,Distance of a point from a plane
Q_M_01_100,3D Geometry,Distance between parallel lines
Q_M_01_100,3D Geometry,Intercept form of plane
Q_M_01_100,3D Geometry,Distance of a point from a plane
Q_M_01_101,3D Geometry,Foot of perpendicular from point to plane
Q_M_01_101,3D Geometry,Volume of tetrahedron or parallelepiped via scalar triple product
Q_M_01_101,3D Geometry,Intercept form of plane
Q_M_01_101,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_101,3D Geometry,Distance of a point from a plane
Q_M_01_102,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_102,3D Geometry,Distance of a point from a plane
Q_M_01_103,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_103,3D Geometry,Distance of a point from a plane
Q_M_01_104,3D Geometry,Shortest distance between two skew lines
Q_M_01_104,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_104,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_105,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_105,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_106,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_106,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_107,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_107,3D Geometry,Shortest distance between two skew lines
Q_M_01_108,3D Geometry,Line-plane intersection point determination
Q_M_01_108,3D Geometry,Distance of a point from a plane
Q_M_01_108,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_109,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_109,3D Geometry,Line-plane intersection point determination
Q_M_01_109,3D Geometry,Distance of a point from a plane
Q_M_01_110,3D Geometry,Shortest distance between two skew lines
Q_M_01_111,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_111,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_111,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_112,3D Geometry,Shortest distance between two skew lines
Q_M_01_112,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_113,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_113,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_113,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_114,3D Geometry,Line through a point intersecting two given lines
Q_M_01_114,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_114,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_115,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_115,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_115,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_116,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_116,3D Geometry,Distance of a point from a plane
Q_M_01_117,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_117,3D Geometry,Distance of a point from a plane
Q_M_01_118,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_118,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_118,3D Geometry,Line-plane intersection point determination
Q_M_01_119,3D Geometry,Foot of perpendicular from point to plane
Q_M_01_119,3D Geometry,Distance of a point from a plane
Q_M_01_119,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_120,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_120,3D Geometry,Volume of tetrahedron or parallelepiped via scalar triple product
Q_M_01_121,3D Geometry,Foot of perpendicular from point to plane
Q_M_01_121,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_121,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_122,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_122,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_122,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_123,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_123,3D Geometry,Intercept form of plane
Q_M_01_123,3D Geometry,Volume of tetrahedron or parallelepiped via scalar triple product
Q_M_01_123,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_124,3D Geometry,Foot of perpendicular from point to plane
Q_M_01_124,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_125,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_125,3D Geometry,Image or reflection of a point in a line
Q_M_01_125,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_126,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_126,3D Geometry,Angle between a line and a plane
Q_M_01_126,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_127,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_127,3D Geometry,Intercept form of plane
Q_M_01_127,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_128,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_128,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_128,3D Geometry,Angle between two planes
Q_M_01_129,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_129,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_129,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_130,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_130,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_130,3D Geometry,Distance of a point from a plane
Q_M_01_131,3D Geometry,Shortest distance between two skew lines
Q_M_01_131,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_132,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_132,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_132,3D Geometry,Distance of a point from a plane
Q_M_01_133,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_133,3D Geometry,Line-plane intersection point determination
Q_M_01_133,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_134,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_134,3D Geometry,Distance of a point from a plane
Q_M_01_134,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_135,3D Geometry,Image of point in plane
Q_M_01_135,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_135,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_135,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_136,3D Geometry,Image of point in plane
Q_M_01_136,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_137,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_137,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_138,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_138,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_138,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_138,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_139,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_139,3D Geometry,Angle between two planes
Q_M_01_140,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_140,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_140,3D Geometry,Normal form of plane
Q_M_01_141,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_141,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_141,3D Geometry,Distance of a point from a plane
Q_M_01_142,3D Geometry,Shortest distance between two skew lines
Q_M_01_143,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_144,3D Geometry,Plane rotation about the line of intersection with another plane
Q_M_01_144,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_145,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_145,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_145,3D Geometry,Distance of a point from a plane
Q_M_01_146,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_147,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_147,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_148,3D Geometry,Plane rotation about the line of intersection with another plane
Q_M_01_148,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_148,3D Geometry,Image of point in plane
Q_M_01_148,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_149,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_149,3D Geometry,Distance of a point from a plane
Q_M_01_150,3D Geometry,Image of point in plane
Q_M_01_150,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_150,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_150,3D Geometry,Line-plane intersection point determination
Q_M_01_151,3D Geometry,Shortest distance between two skew lines
Q_M_01_151,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_151,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_152,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_152,3D Geometry,Angle between two planes
Q_M_01_153,3D Geometry,Angle bisector plane
Q_M_01_153,3D Geometry,Distance of a point from a plane
Q_M_01_154,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_154,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_154,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_154,3D Geometry,Distance between parallel lines
Q_M_01_155,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_155,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_155,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_155,3D Geometry,Area of a triangle via cross product of edge vectors
Q_M_01_156,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_156,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_157,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_157,3D Geometry,Angle between two planes
Q_M_01_158,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_158,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_159,3D Geometry,Distance from a point to a line or plane along a prescribed direction
Q_M_01_159,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_160,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_160,3D Geometry,Distance of a point from a plane
Q_M_01_160,3D Geometry,Normal form of plane
Q_M_01_161,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_161,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_162,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_162,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_162,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_163,3D Geometry,Line-plane intersection point determination
Q_M_01_163,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_163,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_164,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_164,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_165,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_165,3D Geometry,Projection of a line onto a plane
Q_M_01_165,3D Geometry,Angle between a line and a plane
Q_M_01_165,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_166,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_166,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_166,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_166,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_167,3D Geometry,Shortest distance between two skew lines
Q_M_01_167,3D Geometry,Shortest distance formula with parametric unknowns
Q_M_01_167,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_168,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_168,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_169,3D Geometry,Image or reflection of a point in a line
Q_M_01_169,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_169,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_170,3D Geometry,Image or reflection of a point in a line
Q_M_01_170,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_170,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_171,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_172,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_172,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_172,3D Geometry,Shortest distance between two skew lines
Q_M_01_173,3D Geometry,Intercept form of plane
Q_M_01_173,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_174,3D Geometry,Shortest distance between two skew lines
Q_M_01_174,3D Geometry,Line through a point intersecting two given lines
Q_M_01_174,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_175,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_175,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_175,3D Geometry,Line-plane intersection point determination
Q_M_01_176,3D Geometry,Foot of perpendicular from point to plane
Q_M_01_176,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_176,3D Geometry,Distance between parallel lines
Q_M_01_177,3D Geometry,Image of point in plane
Q_M_01_177,3D Geometry,Reflection of a point in a plane using midpoint inversion
Q_M_01_178,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_178,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_178,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_178,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_179,3D Geometry,Angle between two planes
Q_M_01_179,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_180,3D Geometry,Coplanarity condition for two lines via scalar triple product
Q_M_01_180,3D Geometry,Volume of tetrahedron or parallelepiped via scalar triple product
Q_M_01_181,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_181,3D Geometry,Projection of a line onto a plane
Q_M_01_181,3D Geometry,Distance of a point from a plane
Q_M_01_182,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_182,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_183,3D Geometry,Direction cosines and direction ratios — constraint solving and angle between lines
Q_M_01_183,3D Geometry,Angle between two planes
Q_M_01_184,3D Geometry,Image or reflection of a point in a line
Q_M_01_184,3D Geometry,Foot of perpendicular from a point onto a line
Q_M_01_184,3D Geometry,Foot-of-perpendicular extraction via parametrization and dot-product condition
Q_M_01_185,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_185,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_186,3D Geometry,Perpendicular plane construction using cross product of normals
Q_M_01_186,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_187,3D Geometry,Line-plane intersection point determination
Q_M_01_187,3D Geometry,Symmetric and parametric forms of a line equation
Q_M_01_187,3D Geometry,Distance of a point from a plane
Q_M_01_188,3D Geometry,Intercept form of plane
Q_M_01_188,3D Geometry,Equation of a plane through three points or a point and a normal
Q_M_01_188,3D Geometry,Equation of line — vector and Cartesian form
Q_M_01_188,3D Geometry,Normal form of plane
Q_M_01_189,3D Geometry,Shortest distance between two skew lines
Q_M_01_189,3D Geometry,Family of planes through the line of intersection of two planes
Q_M_01_189,3D Geometry,Symmetric and parametric forms of a line equation
