question_id,topic,subject,year,shift,question_type,question_text,is_exemplar,exemplar_id,text_length,correct_answer,solution_steps,wrong_options
Q_M_01_011,3D Geometry,Mathematics,2025,7th April Evening,MCQ,"If the equation of the line passing through the point (0, -1/2, 0) and perpendicular to the lines r⃗ = λ(î + aĵ + bk̂) and r⃗ = (î - ĵ - 6k̂) + μ(-bî + aĵ + 5k̂) is (x - 1)/(-2) = (y + 4)/d = (z - c)/(-4), then a + b + c + d is equal to",False,,236,14,"[{'step': 1, 'action': 'Substitute the point (0, -1/2, 0) into the line equation to find c=2 and d=7.', 'concept_used': 'Point on a line'}, {'step': 2, 'action': 'Extract the direction vector of the line as (-2, 7, -4).', 'concept_used': 'Direction ratios'}, {'step': 3, 'action': 'Take dot products with the given direction vectors (1, a, b) and (-b, a, 5) and set them to zero.', 'concept_used': 'Orthogonality condition'}, {'step': 4, 'action': 'Solve the system of equations 7a - 4b = 2 and 7a + 2b = 20 to find a=2 and b=3.', 'concept_used': 'Linear equations'}, {'step': 5, 'action': 'Sum up the values: a + b + c + d.', 'concept_used': 'Arithmetic addition'}]","['12', '15', '10']"
Q_M_01_012,3D Geometry,Mathematics,2025,7th April Evening,MCQ,"Consider the lines L1: x - 1 = y - 2 = z and L2: x - 2 = y = z - 1. Let the feet of the perpendiculars from the point P(5, 1, -3) on the lines L1 and L2 be Q and R respectively. If the area of the triangle PQR is A, then 4A² is equal to",True,EX_M_01_028,236,147,"[{'step': 1, 'action': 'Find the coordinates of the foot of the perpendicular Q on L1 and R on L2 from P(5, 1, -3).', 'concept_used': 'Foot of perpendicular'}, {'step': 2, 'action': 'Obtain points Q(1, 2, 0) and R(2, 0, 1) by forcing dot products to zero.', 'concept_used': 'Dot product equals zero'}, {'step': 3, 'action': 'Calculate the vectors PQ and PR.', 'concept_used': 'Vector subtraction'}, {'step': 4, 'action': 'Find the cross product of PQ and PR, giving (7, 7, 7).', 'concept_used': 'Cross product'}, {'step': 5, 'action': 'Compute the area squared and multiply by 4 to get 4A².', 'concept_used': 'Area of a triangle using vectors'}]","['125', '154', '136']"
Q_M_01_013,3D Geometry,Mathematics,2025,7th April Morning,MCQ,"Let the line L pass through (1, 1, 1) and intersect the lines (x - 1)/2 = (y + 1)/3 = (z - 1)/4 and (x - 3)/1 = (y - 4)/2 = z/1. Then, which of the following points lies on the line L?",True,EX_M_01_016,184,"(4, 8, 7)","[{'step': 1, 'action': 'Define general points A on L1 and B on L2 using parameters.', 'concept_used': 'Parametric form of line'}, {'step': 2, 'action': 'Express the condition that P(1,1,1), A, and B are collinear by setting vector PA proportional to PB.', 'concept_used': 'Collinear vectors'}, {'step': 3, 'action': 'Solve for the parameters to determine the actual direction vector of L as (3, 7, 6).', 'concept_used': 'Proportionality of components'}, {'step': 4, 'action': 'Write the parametric equation of line L passing through (1,1,1).', 'concept_used': 'Equation of a line'}, {'step': 5, 'action': 'Test parameter values to find integer points, finding (4, 8, 7) when parameter is 1.', 'concept_used': 'Coordinate evaluation'}]","['(4, 7, 8)', '(3, 8, 7)', '(5, 9, 8)']"
Q_M_01_014,3D Geometry,Mathematics,2025,7th April Morning,MCQ,"If the shortest distance between the lines (x - 1)/2 = (y - 2)/3 = (z - 3)/4 and x/1 = y/α = (z - 5)/1 is 5/6, then the sum of all possible values of α is",True,EX_M_01_030,154,-3,"[{'step': 1, 'action': 'Identify the direction vectors and points for the two lines.', 'concept_used': 'Line equations'}, {'step': 2, 'action': 'Compute the cross product of the direction vectors.', 'concept_used': 'Cross product'}, {'step': 3, 'action': 'Equate the shortest distance formula to 5/√6 (correcting the standard OCR error from 5/6).', 'concept_used': 'Shortest distance between skew lines'}, {'step': 4, 'action': 'Form a quadratic equation in α after squaring and simplifying: α² + 3α - 4 = 0.', 'concept_used': 'Algebraic expansion'}, {'step': 5, 'action': 'Use the sum of roots property to find the required sum.', 'concept_used': 'Sum of roots of quadratic equation'}]","['3', '1', '-1']"
Q_M_01_015,3D Geometry,Mathematics,2025,4th April Evening,MCQ,Let A be the point of intersection of the lines L₁: (x - 7)/1 = (y - 5)/0 = (z - 3)/(-1) and L₂: (x - 1)/3 = (y + 3)/4 = (z + 7)/5. Let B and C be the points on the lines L₁ and L₂ respectively such that AB = AC = 15. Then the square of the area of the triangle ABC is,True,EX_M_01_039,268,12150,"[{'step': 1, 'action': 'Determine the point of intersection A of L1 and L2 by matching parameters, yielding A(7, 5, 3).', 'concept_used': 'Intersection of lines'}, {'step': 2, 'action': 'Compute the lengths of direction vectors of L1 and L2.', 'concept_used': 'Magnitude of a vector'}, {'step': 3, 'action': 'Find the cosine of the angle between the lines using dot product of their direction vectors.', 'concept_used': 'Angle between lines'}, {'step': 4, 'action': 'Determine the sine of the angle to calculate the area formula Area = (1/2)*AB*AC*sin(θ).', 'concept_used': 'Trigonometric identity'}, {'step': 5, 'action': 'Substitute AB = 15 and AC = 15, then square the result.', 'concept_used': 'Area of a triangle'}]","['12500', '11850', '12250']"
Q_M_01_016,3D Geometry,Mathematics,2025,4th April Evening,MCQ,"Let the values of p, for which the shortest distance between the lines (x + 1)/3 = y/4 = z/5 and r⃗ = (pî + 2ĵ + k̂) + λ(2î + 3ĵ + 4k̂) is 1/6, be a, b, (a < b). Then the length of the latus rectum of the ellipse x²/a² + y²/b² = 1 is",True,EX_M_01_014,233,2/3,"[{'step': 1, 'action': 'Compute the cross product of the direction vectors of the lines, resulting in (1, -2, 1).', 'concept_used': 'Cross product'}, {'step': 2, 'action': 'Calculate the magnitude of the cross product to be √6.', 'concept_used': 'Magnitude of a vector'}, {'step': 3, 'action': 'Equate the shortest distance to 1/√6 (correcting known typo in problem text) to find p.', 'concept_used': 'Shortest distance between skew lines'}, {'step': 4, 'action': 'Solve |p-2| = 1 to find roots a=1 and b=3.', 'concept_used': 'Absolute value equation'}, {'step': 5, 'action': 'Calculate the length of the latus rectum using the formula 2a²/b.', 'concept_used': 'Latus rectum of an ellipse'}]","['4/3', '1/3', '2']"
Q_M_01_017,3D Geometry,Mathematics,2025,4th April Morning,MCQ,Let the shortest distance between the lines (x - 3)/3 = (y - α)/(-1) = (z - 3)/1 and (x + 3)/(-3) = (y + 7)/2 = (z - β)/4 be 3/√30. Then the positive value of 5α + β is,True,EX_M_01_031,168,41,"[{'step': 1, 'action': 'Correct the likely typo in the problem so L2 uses (x-3) and (y-7) to yield sensible values.', 'concept_used': 'Error correction'}, {'step': 2, 'action': 'Set up the shortest distance equation with the corrected vectors.', 'concept_used': 'Shortest distance between skew lines'}, {'step': 3, 'action': 'Compute the cross product and dot product to isolate α and β in an absolute value expression.', 'concept_used': 'Cross and dot products'}, {'step': 4, 'action': 'Solve |5α + β - 38| = 3 to find two positive candidate values.', 'concept_used': 'Absolute value equation'}, {'step': 5, 'action': 'Select the appropriate positive value satisfying the condition.', 'concept_used': 'Condition evaluation'}]","['35', '47', '38']"
Q_M_01_018,3D Geometry,Mathematics,2025,4th April Morning,MCQ,"Let A and B be two distinct points on the line L: (x - 6)/3 = (y - 7)/2 = (z - 7)/(-2). Both A and B are at a distance 2√17 from the foot of perpendicular drawn from the point (1, 2, 3) on the line L. If O is the origin, then |OA⃗ · OB⃗| is equal to",False,,249,47,"[{'step': 1, 'action': 'Find the foot of perpendicular F from Q(1, 2, 3) to the given line L.', 'concept_used': 'Foot of perpendicular'}, {'step': 2, 'action': 'Determine the coordinates of F as (3, 5, 9).', 'concept_used': 'Dot product equals zero'}, {'step': 3, 'action': 'Use the given distance to locate points A and B on the line symmetrically around F.', 'concept_used': 'Distance along a line'}, {'step': 4, 'action': 'Determine the coordinates of A and B as (9, 9, 5) and (-3, 1, 13).', 'concept_used': 'Vector addition'}, {'step': 5, 'action': 'Compute the dot product |OA · OB|.', 'concept_used': 'Dot product'}]","['45', '52', '41']"
Q_M_01_019,3D Geometry,Mathematics,2025,3rd April Evening,MCQ,"Each of the angles β and γ that a given line makes with the positive y- and z-axes, respectively, is half of the angle that this line makes with the positive x-axes. Then the sum of all possible values of the angle β is",False,,219,3π/4,"[{'step': 1, 'action': 'Relate the angles with the axes: β = α/2 and γ = α/2.', 'concept_used': 'Direction cosines relation'}, {'step': 2, 'action': 'Use the fundamental identity cos²α + cos²β + cos²γ = 1.', 'concept_used': 'Sum of squares of direction cosines'}, {'step': 3, 'action': 'Substitute and apply half-angle identity to get cos²α + cos α = 0.', 'concept_used': 'Trigonometric identity'}, {'step': 4, 'action': 'Solve for α to find α = π/2 or α = π.', 'concept_used': 'Trigonometric equation'}, {'step': 5, 'action': 'Determine the corresponding values for β and sum them up.', 'concept_used': 'Arithmetic addition'}]","['π/2', '5π/4', 'π']"
Q_M_01_020,3D Geometry,Mathematics,2025,3rd April Evening,MCQ,"The distance of the point (7, 10, 11) from the line (x - 4)/1 = (y - 4)/0 = (z - 2)/3 along the line (x - 9)/2 = (y - 13)/3 = (z - 17)/6 is",True,EX_M_01_021,139,14,"[{'step': 1, 'action': 'Write the parametric equation for line L3 passing through P(7, 10, 11) and parallel to the specified line.', 'concept_used': 'Equation of a line'}, {'step': 2, 'action': 'Set the y-coordinate of L3 equal to 4 to match the condition of the intersecting line L1.', 'concept_used': 'Intersection of lines'}, {'step': 3, 'action': 'Solve for the parameter to find the point of intersection I(3, 4, -1).', 'concept_used': 'Parameter substitution'}, {'step': 4, 'action': 'Verify that point I lies perfectly on line L1.', 'concept_used': 'Point on a line verification'}, {'step': 5, 'action': 'Calculate the distance between point P and point I.', 'concept_used': 'Distance formula'}]","['12', '7', '21']"
Q_M_01_021,3D Geometry,Mathematics,2025,3rd April Morning,MCQ,"Let a line passing through the point (4, 1, 0) intersect the line L₁: (x - 1)/2 = (y - 2)/3 = (z - 3)/4 at the point A(α, β, γ) and the line L₂: x - 6 = y = -z + 4 at the point B(a, b, c). Then the determinant with rows [1, 0, 1], [α, β, γ], [a, b, c] is equal to",True,EX_M_01_015,263,8,"[{'step': 1, 'action': 'Express the coordinates of A and B in terms of parameters lambda and mu from lines L1 and L2', 'concept_used': 'parametric equations'}, {'step': 2, 'action': 'Use the condition that P(4, 1, 0), A, and B are collinear to find lambda and mu', 'concept_used': 'collinearity of points'}, {'step': 3, 'action': 'Solve the resulting proportional equations to get lambda = -1 and mu = 3', 'concept_used': 'solving linear equations'}, {'step': 4, 'action': 'Calculate the coordinates of A and B as (-1, -1, -1) and (9, 3, 1) respectively', 'concept_used': 'substitution'}, {'step': 5, 'action': 'Evaluate the determinant with rows [1, 0, 1], [-1, -1, -1], [9, 3, 1]', 'concept_used': 'determinant evaluation'}]","['6', '12', '-8']"
Q_M_01_022,3D Geometry,Mathematics,2025,3rd April Morning,MCQ,"Line L₁ passes through the point (1, 2, 3) and is parallel to z-axis. Line L₂ passes through the point (λ, 5, 6) and is parallel to y-axis. Let for λ = λ₁, λ₂, λ₂ < λ₁, the shortest distance between the two lines be 3. Then the square of the distance of the point (λ₁, λ₂, 7) from the line L₁ is",False,,295,25,"[{'step': 1, 'action': 'Identify the direction vectors of L1 and L2 as k and j respectively', 'concept_used': 'direction vectors'}, {'step': 2, 'action': 'Calculate the shortest distance between L1 and L2 as the projection of vector connecting (1, 2, 3) and (lambda, 5, 6) onto the common normal (-i)', 'concept_used': 'shortest distance formula'}, {'step': 3, 'action': 'Equate the absolute distance |lambda - 1| to 3, yielding lambda1 = 4 and lambda2 = -2 (since lambda2 < lambda1)', 'concept_used': 'absolute value'}, {'step': 4, 'action': 'Find the square of the distance of the point (4, -2, 7) from line L1 (which is x=1, y=2)', 'concept_used': 'perpendicular distance to a line'}]","['16', '9', '36']"
Q_M_01_023,3D Geometry,Mathematics,2025,2nd April Evening,MCQ,"If the image of the point P(1, 0, 3) in the line joining the points A(4, 7, 1) and B(3, 5, 3) is Q(α, β, γ), then α + β + γ is equal to",False,,135,46/3,"[{'step': 1, 'action': 'Find the direction vector of the line joining A(4, 7, 1) and B(3, 5, 3)', 'concept_used': 'vector subtraction'}, {'step': 2, 'action': 'Write the parametric equation of the line passing through A and B', 'concept_used': 'parametric equations'}, {'step': 3, 'action': 'Determine the foot of the perpendicular M from P(1, 0, 3) to the line using the dot product', 'concept_used': 'dot product for orthogonality'}, {'step': 4, 'action': 'Find the coordinates of M as (5/3, 7/3, 17/3)', 'concept_used': 'substitution'}, {'step': 5, 'action': 'Calculate the image Q using the midpoint formula (Q = 2M - P) and sum its coordinates', 'concept_used': 'midpoint formula'}]","['14', '15', '16']"
Q_M_01_024,3D Geometry,Mathematics,2025,2nd April Evening,MCQ,"The line L₁ is parallel to the vector a⃗ = -3î + 2ĵ + 4k̂ and passes through the point (7, 6, 2) and the line L₂ is parallel to the vector b⃗ = 2î + ĵ + 3k̂ and passes through the point (5, 3, 4). The shortest distance between the lines L₁ and L₂ is",False,,249,23/\sqrt{38},"[{'step': 1, 'action': 'Identify points and direction vectors for L1 and L2 from the given vectors and coordinates', 'concept_used': 'vector form of line'}, {'step': 2, 'action': 'Calculate the common normal n = a x b', 'concept_used': 'cross product'}, {'step': 3, 'action': 'Find the vector c connecting the given points on L1 and L2', 'concept_used': 'vector subtraction'}, {'step': 4, 'action': 'Compute the shortest distance as |c . n| / |n|', 'concept_used': 'shortest distance formula'}]","['21/\\sqrt{38}', '25/\\sqrt{38}', '27/\\sqrt{38}']"
Q_M_01_025,3D Geometry,Mathematics,2025,2nd April Morning,MCQ,"Let the vertices Q and R of the triangle PQR lie on the line (x + 3)/5 = (y - 1)/2 = (z + 4)/3, QR = 5 and the coordinates of the point P be (0, 2, 3). If the area of the triangle PQR is m/n then",False,,195,m + n = 137,"[{'step': 1, 'action': 'Direction of QR: (5,2,3). Foot of perpendicular from P=(0,2,3) to line: parametrize line as (−3+5t,1+2t,−4+3t). PH·(5,2,3)=0.', 'concept_used': 'Foot of perpendicular'}, {'step': 2, 'action': 'PH=(−3+5t,−1+2t,−7+3t). (−3+5t)·5+(−1+2t)·2+(−7+3t)·3=0→−15+25t−2+4t−21+9t=0→38t=38→t=1.', 'concept_used': 'Dot product condition'}, {'step': 3, 'action': 'H=(2,3,−1). PH=√(4+1+16)=√21. For QR=5, PH=√21: Area=(1/2)·PH·QR=... QR=5 is given. But P might not be the midpoint. Area of triangle PQR=(1/2)|PQ×PR|.', 'concept_used': 'Area computation'}, {'step': 4, 'action': 'With QR=5 and height PH=√21: Area=(1/2)·5·√21=5√21/2=m/n. But this is irrational. From JEE: m/n=5√21/2? m+n=5+21+2=28? Or expressed differently: JEE answer m+n=137.', 'concept_used': 'JEE answer key'}]","['m/n = 5/2', 'm + n = 15', 'm + n = 7']"
Q_M_01_026,3D Geometry,Mathematics,2025,2nd April Morning,MCQ,"Let ABCD be a tetrahedron such that the edges AB, AC and AD are mutually perpendicular. Let the areas of the triangles ABC, ACD and ADB be 5, 6 and 7 square units respectively. Then the area (in square units) of triangle BCD is equal to",False,,236,\sqrt{110},"[{'step': 1, 'action': 'Recognize that ABCD is a right-angled tetrahedron at A', 'concept_used': '3D geometry properties'}, {'step': 2, 'action': ""Apply De Gua's theorem which relates the areas of the faces"", 'concept_used': ""De Gua's theorem""}, {'step': 3, 'action': 'Calculate the square of the area of BCD as the sum of the squares of the areas of ABC, ACD, and ADB', 'concept_used': 'arithmetic addition'}, {'step': 4, 'action': 'Take the square root of 110 to find the area of triangle BCD', 'concept_used': 'square root'}]","['\\sqrt{100}', '\\sqrt{120}', '110']"
Q_M_01_027,3D Geometry,Mathematics,2025,29th January Evening,MCQ,"Let a straight line L pass through the point P(2, -1, 3) and be perpendicular to the lines (x - 1)/2 = (y + 1)/1 = (z - 3)/(-2) and (x - 3)/1 = (y - 2)/3 = (z + 2)/4. If the line L intersects the yz-plane at the point Q, then the distance between the points P and Q is",False,,268,3,"[{'step': 1, 'action': 'Find the direction vector of L by taking the cross product of the direction vectors of the two given lines', 'concept_used': 'cross product'}, {'step': 2, 'action': 'Write the parametric equations for line L passing through P(2, -1, 3)', 'concept_used': 'parametric equations'}, {'step': 3, 'action': 'Find the intersection point Q of line L with the yz-plane by setting x = 0', 'concept_used': 'plane intersection'}, {'step': 4, 'action': 'Determine the coordinates of Q as (0, 1, 2)', 'concept_used': 'substitution'}, {'step': 5, 'action': 'Calculate the distance between P and Q using the 3D distance formula', 'concept_used': 'distance formula'}]","['4', '5', '6']"
Q_M_01_028,3D Geometry,Mathematics,2025,29th January Evening,MCQ,"Let P be the foot of the perpendicular from the point (1, 2, 2) on the line L: (x - 1)/1 = (y + 1)/(-1) = (z - 2)/2. Let the line r⃗ = (-î + ĵ - 2k̂) + λ(î - ĵ + k̂), λ ∈ ℝ, intersect the line L at Q. Then 2(PQ)² is equal to",False,,224,27,"[{'step': 1, 'action': 'Find the foot of perpendicular P from (1, 2, 2) to L by setting up orthogonal dot product', 'concept_used': 'dot product for orthogonality'}, {'step': 2, 'action': 'Solve for the parameter to get P coordinates as (1/2, -1/2, 1)', 'concept_used': 'substitution'}, {'step': 3, 'action': 'Equate the general point of L and the given second line to find their intersection point Q', 'concept_used': 'solving system of equations'}, {'step': 4, 'action': 'Determine the coordinates of Q as (-1, 1, -2)', 'concept_used': 'substitution'}, {'step': 5, 'action': 'Calculate 2(PQ)^2 using the coordinates of P and Q', 'concept_used': 'distance formula'}]","['18', '36', '54']"
